Rank,stock,p,q,AIC
1,ABTX,2,1,-1.510280544
2,ABTX,10,0,-1.500446772
3,ABTX,11,0,-1.492380987
4,ABTX,10,1,-1.489763367
5,ABTX,7,1,-1.488258678
1,ACBI,15,6,-2.652496876
2,ACBI,11,0,-2.641081644
3,ACBI,3,13,-2.639854926
4,ACBI,12,0,-2.621207513
5,ACBI,11,1,-2.621149039
1,AFMD,2,0,-4.545380848
2,AFMD,1,1,-4.537143092
3,AFMD,2,1,-4.527373408
4,AFMD,3,0,-4.52665335
5,AFMD,1,2,-4.524489873
1,AGNCB,0,6,-4.848654544
2,AGNCB,1,6,-4.829344742
3,AGNCB,2,6,-4.811396286
4,AGNCB,7,0,-4.795907562
5,AGNCB,3,1,-4.788732126
1,AKBA,1,5,-3.930609427
2,AKBA,1,4,-3.923920897
3,AKBA,2,5,-3.91127915
4,AKBA,6,1,-3.909619216
5,AKBA,1,6,-3.908144904
1,BANF,4,0,-0.678472
2,BANF,2,1,-0.678200828
3,BANF,3,1,-0.670409323
4,BANF,2,2,-0.667583793
5,BANF,5,0,-0.658621076
1,BCML,1,2,-1.11769264
2,BCML,2,0,-1.113758206
3,BCML,4,0,-1.109172383
4,BCML,2,2,-1.109086713
5,BCML,0,5,-1.102058646
1,BMRC,2,1,-1.648699805
2,BMRC,4,0,-1.641442748
3,BMRC,5,0,-1.633756084
4,BMRC,4,1,-1.633279657
5,BMRC,7,0,-1.631429974
1,BOKFL,4,2,-4.481555281
2,BOKFL,4,0,-4.468910432
3,BOKFL,2,1,-4.460791396
4,BOKFL,4,1,-4.455065031
5,BOKFL,5,0,-4.450858679
1,CCRC,2,1,-1.375830649
2,CCRC,2,0,-1.367276816
3,CCRC,1,0,-1.363945651
4,CCRC,1,1,-1.362408477
5,CCRC,3,0,-1.357336651
1,CHCO,2,2,-0.498147201
2,CHCO,1,1,-0.486197263
3,CHCO,2,0,-0.484919436
4,CHCO,1,0,-0.483408288
5,CHCO,2,1,-0.475231714
1,CVBF,1,5,-2.848382672
2,CVBF,1,6,-2.835406226
3,CVBF,2,5,-2.829767302
4,CVBF,0,7,-2.825404845
5,CVBF,1,7,-2.82443809
1,CZWI,5,4,-3.863609796
2,CZWI,3,0,-3.857377944
